40:2:20|8|mhtera|G3384
40:2:20|9|autou|G846
40:2:20|10|kai|G2532
40:2:20|11|poreuou|G4198
40:2:20|12|eis|G1519
40:2:20|13|ghn|G1093
40:2:20|14|israhl|G2474
40:2:20|15|teqnhkasin|G2348
40:2:20|16|gar|G1063
40:2:20|17|oi|G3588
40:2:20|18|zhtountes|G2212
40:2:20|19|thn|G3588
40:2:20|20|yuchn|G5590
40:2:20|21|tou|G3588
40:2:20|22|paidiou|G3813
40:2:21|1|o|G3588
40:2:21|2|de|G1161
40:2:21|3|egerqeis|G1453
40:2:21|4|parelaben|G3880
40:2:21|5|to|G3588
40:2:21|6|paidion|G3813
40:2:21|7|kai|G2532
40:2:21|8|thn|G3588
40:2:21|9|mhtera|G3384
40:2:21|10|autou|G846
40:2:21|11|kai|G2532
40:2:21|12|eishlqen|G1525
40:2:21|13|eis|G1519
40:2:21|14|ghn|G1093
40:2:21|15|israhl|G2474
40:2:22|1|akousas|G191
40:2:22|2|de|G1161
40:2:22|3|oti|G3754
40:2:22|4|arcelaos|G745
40:2:22|5|basileuei|G936
40:2:22|6|ths|G3588
40:2:22|7|ioudaias|G2449
40:2:22|8|anti|G473
40:2:22|9|tou|G3588
40:2:22|10|patros|G3962
40:2:22|11|autou|G846
40:2:22|12|hrwdou|G2264
40:2:22|13|efobhqh|G5399
40:2:22|14|ekei|G1563
40:2:22|15|apelqein|G565
40:2:22|16|crhmatisqeis|G5537
40:2:22|17|de|G1161
40:2:22|18|kat|G2596
40:2:22|19|onar|G3677
40:2:22|20|anecwrhsen|G402
40:2:22|21|eis|G1519
40:2:22|22|ta|G3588
40:2:22|23|merh|G3313
40:2:22|24|ths|G3588
40:2:22|25|galilaias|G1056
40:2:23|1|kai|G2532
40:2:23|2|elqwn|G2064
40:2:23|3|katwkhsen|G2730
40:2:23|4|eis|G1519
40:2:23|5|polin|G4172
40:2:23|6|legomenhn|G3004
40:2:23|7|nazaret|G3478
40:2:23|8|opws|G3704
